0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
201201,0,10210982.58,0,2263557.16,1179904.74,750036.99,1513980.78,0,7473534.87,-153949.47,386024.28,10669.03,0,0,0,2263557.16,1179904.74,750036.99,1513980.78,650712.05,0,0,5892160.14,6342452.67,4940.4,0,362128.64,7473534.87,-153949.47,386024.28,10669.03,0,4185916.13,4836628.18,0,0,48317485.47,14876723.3,27751927.62,2884066.06,0,-2450226.82,0,0,0,0,0,0,0,765738.31,0,0,0,0,0,0,0,0,0,-1180246334,0,0,13123799.32
201202,0,6410812.17,0,1523159.32,307196.03,847334.97,1625461.8,0,603031.73,-385666.14,648920.14,107675.57,0,0,0,1523159.32,307196.03,847334.97,1625461.8,4598409.63,0,0,2329146.44,4728160.21,281.27,0,588951.57,603031.73,-385666.14,648920.14,107675.57,0,12115226.04,16713635.67,0,0,43634042.47,9870133.06,28866081.77,2009262.13,0,-2912554.61,0,0,0,0,0,0,0,658128.57,0,0,0,0,0,0,0,0,0,-495981234,0,0,9235139.26
201203,0,14489122.06,-34.49,1531396.94,440819.6,983774.74,1575444.9,0.02,3581623.29,-130595.43,743283.93,106000.77,0,0,0,1531396.94,440819.6,983774.74,1575444.9,4659085.06,0.02,0,2043474.4,6602915.35,57928.25,0.02,973143.14,3581623.29,-1330595.43,743283.93,106000.77,0,11381948.73,16041033.79,0,0,45344650.17,10095219.16,31652340.28,713862.01,0,-3615882.22,-34.49,0,-1200000,0,0,0,0.02,657363.42,0,0,0,0,0,0,0,0,0,109481247.6,0,0,33173404.03
201204,0,8037107.72,0,1601067.31,-33787.06,1371353.3,1535542.88,0,341085.52,-25663.61,741158.12,247979.83,0,0,0,1601067.31,-33787.06,1371353.3,1535542.88,6017154.2,0,0,676675.48,2583526,200000,0,4503252.77,341085.52,-67897.61,741158.12,247979.83,-651797.7,23300876.23,29318030.43,0,0,51891011.53,16362715.28,32204265.62,430551.09,0,-2921786.59,0,0,-42234,-651797.7,0,0,0,670746.63,0,0,0,0,0,0,0,0,0,98901159.12,0,0,3494835.88
201205,0,19734174.18,0,2967996.35,-121469.73,2410847.13,2147342.42,0,471595.8,73385.1,628574.35,59784.88,0,0,0,2967996.35,-121469.73,2410847.13,2147342.42,49902310.16,0,0,3547865.84,19713294.1,389989.13,0,1090815.22,471595.8,73385.1,628574.35,59784.88,-651797.7,24916991.13,74819301.29,0,0,63705994.12,19841118.22,42242244.97,911849.97,0,-2693726.62,0,0,0,-651797.7,0,0,0,709545.4,0,432.08,0,0,0,0,0,0,0,119677466,0,0,12966774
201206,0,20763185.47,0,5276631.72,1539416.66,1249971.81,4275171.73,-0.04,564600.28,255973.51,352365.16,270424.82,0,0,0,5276631.72,1539416.66,1249971.81,4275171.73,7127934.69,-0.04,0,17931596.98,23311258.76,0,-0.04,4343192.19,564600.28,255973.51,352365.16,270424.82,0,10960430.41,18088365.1,0,0,65894667.13,29289714.78,35349999.2,942666.15,0,-2513493.02,0,0,0,0,0,0,-0.04,896595.08,0,0,0,0,0,0,0,0,0,211219717.3,0,-1796816.81,40872877.08
201207,0,14401472.33,-1.55,3799242.38,-186378.86,2014575.16,4812749.76,0,366634.56,136462.16,166035,516777.74,0,0,0,3799242.38,-186378.86,2014575.16,4812749.76,5096017.08,0,0,2783129.79,13244026.4,4407.08,0,939627.9,366634.56,98847.85,166035,516777.74,0,10173702.36,15269719.44,0,0,42657657.26,18381300.98,23153037.75,770572.34,0,-3351605.84,-1.55,0,-37614.31,0,0,0,0,1032371.18,0,6120,0,0,0,0,0,0,0,64522301.33,0,0,16323787.95
201208,0,15372484.33,-41750,5067672.43,11717.05,2634585.09,5541635.13,0,95340.1,-145820.51,300416.51,71807.78,0,0,0,5067672.43,11717.05,2634585.09,5541635.13,141322554.9,0,0,2437106.95,9297765.49,112045.82,0,1401374.38,95340.1,-145820.51,300416.51,71807.78,0,34685004.03,176007559,0,0,42385883.94,19345917.85,21919023.8,773500.74,0,-2275486.21,-41750,0,0,0,0,0,0,972211.6,0,774,0,0,0,0,0,0,0,-604589432.3,0,0,13618103.26
201209,0,13685420.88,-78.03,4200875.3,-304772.62,3121806.07,5673754.33,0,122280.34,-44789.04,283087.44,69721.54,0,0,0,4200875.3,-304772.62,3121806.07,5673754.33,10560926.48,0,0,19151061.54,24421934.13,95108.52,0,930920.41,122280.34,-113356.04,283087.44,69721.54,0,51418705.84,61979632.32,0,0,65821222.02,29411636.86,35537849.01,632982.27,0,-2145557.91,-78.03,0,-68567,0,0,0,0,946718.95,0,-774,0,0,0,0,0,0,0,184719616.1,0,-1796816.81,43913981.79
201210,0,30491535.07,-8.45,5693136.1,-616273.58,4017876.27,5330702.2,0,298314.31,181933.99,96281.75,263346.41,0,0,0,5693136.1,-616273.58,4017876.27,5330702.2,6062190.06,0,0,1140480.64,8946024.51,0,0,981241,298314.31,181933.99,96281.75,263346.41,0,17083040.89,23145230.95,0,0,64566377.67,38998137.99,24680406.08,557453.58,0,-2085754.87,-8.45,0,0,0,0,0,0,993067.43,0,0,0,0,0,0,0,0,0,-709799039.4,0,-1796816.81,13442534.13
201211,0,21229461.31,-319.88,5507083.9,958859.18,3248063.6,6653617.01,0,225908.99,-136703.78,157171.12,331496.31,0,0,0,5507083.9,958859.18,3248063.6,6653617.01,6891367.27,0,0,9460258.2,10991357.13,287431.97,0,878285.45,225908.99,-136703.78,157171.12,331496.31,0,13605294.88,20496662.15,0,0,86466407.26,36802450.81,48164676.46,568899.97,0,-2953824.39,-319.88,0,0,0,0,0,0,700667.84,0,0,0,0,0,0,0,0,0,-1567175965,0,-1796816.81,23473574.11
