Payout Ratio [FY 1997] (%),Payout Ratio [FY 1998] (%),Payout Ratio [FY 1999] (%),Payout Ratio [FY 2000] (%),Payout Ratio [FY 2001] (%),Payout Ratio [FY 2002] (%),Payout Ratio [FY 2003] (%),Payout Ratio [FY 2004] (%),Payout Ratio [FY 2005] (%),Payout Ratio [FY 2006] (%),Payout Ratio [FY 2007] (%),Payout Ratio [FY 2008] (%),Payout Ratio [FY 2009] (%),Payout Ratio [FY 2010] (%),Payout Ratio [FY 2011] (%),Payout Ratio [FY 2012] (%),Payout Ratio [FY 2013] (%),Payout Ratio [FY 2014] (%),Payout Ratio [FY 2015] (%),Payout Ratio [FY 2016] (%),"Repurchase of Common Stock [FY 1997]($USDmm, Current rate)","Repurchase of Common Stock [FY 1998]($USDmm, Current rate)","Repurchase of Common Stock [FY 1999]($USDmm, Current rate)","Repurchase of Common Stock [FY 2000]($USDmm, Current rate)","Repurchase of Common Stock [FY 2001]($USDmm, Current rate)","Repurchase of Common Stock [FY 2002]($USDmm, Current rate)","Repurchase of Common Stock [FY 2003]($USDmm, Current rate)","Repurchase of Common Stock [FY 2004]($USDmm, Current rate)","Repurchase of Common Stock [FY 2005]($USDmm, Current rate)","Repurchase of Common Stock [FY 2006]($USDmm, Current rate)","Repurchase of Common Stock [FY 2007]($USDmm, Current rate)","Repurchase of Common Stock [FY 2008]($USDmm, Current rate)","Repurchase of Common Stock [FY 2009]($USDmm, Current rate)","Repurchase of Common Stock [FY 2010]($USDmm, Current rate)","Repurchase of Common Stock [FY 2011]($USDmm, Current rate)","Repurchase of Common Stock [FY 2012]($USDmm, Current rate)","Repurchase of Common Stock [FY 2013]($USDmm, Current rate)","Repurchase of Common Stock [FY 2014]($USDmm, Current rate)","Repurchase of Common Stock [FY 2015]($USDmm, Current rate)","Repurchase of Common Stock [FY 2016]($USDmm, Current rate)"
306.3308,1589.9425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.3685,21.5432,22.5903,-,0,0,0,0,0,109.281,0,407.527,99.976,0,49.837,247.63,20.014,389.287,624.241,484.608,367.061,372.014,454.02,-
27.4955,28.5474,27.5328,26.924,31.045,35.8462,17.3013,18.9784,22.7272,23.8909,29.171,32.1602,33.9816,32.7995,20.7569,31.8652,30.457,36.4024,42.9503,-,0,2.23362,3.35606,0,111.4487,326.54421,143.36508,197.23672,511.63577,1294.86674,1132.58579,548.82515,0,247.92923,277.22995,59.72841,0,0,0,-
0,0,4.1318,32.6109,50.8413,51.7368,87.5095,0,0,0,105.5812,88.1013,-,0,0,18.4714,51.4369,37.2434,28.9258,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
23.4904,29.1388,33.0585,19.8829,-,-,-,0,16.2821,27.2027,36.3757,70.5579,160.5936,57.3389,59.1028,139.0995,73.8275,83.8692,81.4303,-,0,0,0,45.79982,18.50977,0,17.79786,0,0,0,0,0,0,0,0,11.03467,0,0,0,-
16.904,21.3714,23.1664,25.4951,63.4545,39.8698,38.8935,44.2669,40.4314,35.137,23.3865,51.354,173.5129,82.1081,-,-,-,12.305,20.5596,-,0,0,28.17378,180.31217,23.66597,19.15817,1527.01865,2984.16634,4798.5575,3798.95194,4303.826,3519.46808,0,0,0,0,0,481.20809,194.96253,-
36.9901,12.6068,60.7142,0,-,-,0,0,0,-,-,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,5.63476,0,0,0,0,0,0,0,0,0,0,-
0,35.6233,52.9092,28.8452,16.6471,11.755,10.6356,34.1017,20.0846,31.2762,11.4943,45.8963,40.7132,36.4019,95.7304,-,112.5424,69.2561,56.3651,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.28723,-
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1386,18.6668,33.1563,47.8543,45.496,-,323,0,0,0,0,1854,5984,9080,10235,8295,7681,10441,3611,7864,6896,4760,3103,9843,4826,-
-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,24.6646,-,-,0,0,130,0,0,0,63.61,0.017,186.388,1623.19,604.7,453.888,565.4,548.6,650.6,577.8,2262.5,1153.6,-
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3648,32.3876,45.5778,-,0,0,0,0,18.258,363.923,126.975,545.718,1003.419,3655.404,1453.669,1489.501,0,999.924,2000,685,3015,2969,2063,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-
