Rev YOY % [FY1997],Rev YOY % [FY1998],Rev YOY % [FY1999],Rev YOY % [FY2000],Rev YOY % [FY2001],Rev YOY % [FY2002],Rev YOY % [FY2003],Rev YOY % [FY2004],Rev YOY % [FY2005],Rev YOY % [FY2006],Rev YOY % [FY2007],Rev YOY % [FY2008],Rev YOY % [FY2009],Rev YOY % [FY2010],Rev YOY % [FY2011],Rev YOY % [FY2012],Rev YOY % [FY2013],Rev YOY % [FY2014],Rev YOY % [FY2015],Rev YOY % [FY2016],EBITDA Margin % [FY 1997],EBITDA Margin % [FY 1998],EBITDA Margin % [FY 1999],EBITDA Margin % [FY 2000],EBITDA Margin % [FY 2001],EBITDA Margin % [FY 2002],EBITDA Margin % [FY 2003],EBITDA Margin % [FY 2004],EBITDA Margin % [FY 2005],EBITDA Margin % [FY 2006],EBITDA Margin % [FY 2007],EBITDA Margin % [FY 2008],EBITDA Margin % [FY 2009],EBITDA Margin % [FY 2010],EBITDA Margin % [FY 2011],EBITDA Margin % [FY 2012],EBITDA Margin % [FY 2013],EBITDA Margin % [FY 2014],EBITDA Margin % [FY 2015],EBITDA Margin % [FY 2016]
37.0215,39.181,55.2516,78.4017,37.1619,5.1929,-8.0715,19.5779,14.9339,21.6533,14.3595,11.4916,-9.4713,4.2484,6.4842,2.1768,3.0475,6.509,2.2421,-,21.6909,28.2318,28.3317,27.2819,28.8091,25.4475,21.7051,22.5435,21.8243,19.1833,18.6585,19.3678,20.4784,20.3192,18.4358,18.5433,18.5999,18.476,19.3148,-
61.1836,42.8172,18.4121,22.5897,17.1792,0.9812,-5.2373,6.9738,13.2345,10.3889,9.1876,12.8607,-7.8013,16.7916,14.1928,13.9815,3.6491,4.4305,18.4111,-,28.9865,24.0972,18.9292,16.3772,21.875,25.5064,27.8746,29.6858,29.8742,29.7029,28.8514,29.1231,31.2031,32.8947,34.2654,30.2903,32.5245,30.9851,27.4852,-
0,-27.678,-9.1838,106.5013,-2.1137,12.6436,36.2771,14.6618,-6.9373,-25.4592,3.4062,-3.2408,4.2305,6.5106,14.0116,131.1396,48.2278,72.9895,38.5452,-,-,-,15.4613,10.3389,5.029,8.5568,9.3356,-,4.8914,1.4928,1.5387,1.7779,0.2304,1.4444,3.641,3.8474,4.9257,3.5775,4.0708,-
34.9846,9.9546,16.7888,27.0033,-15.254,-37.1232,-19.232,12.0895,16.1019,17.3597,4.426,11.2631,-1.1741,-1.5155,11.5924,0.3781,-0.177,0.2669,8.3063,-,14.4175,13.5416,10.861,8.9458,-4.2973,-0.6441,10.074,23.6929,21.8747,19.5561,15.4766,13.7012,14.9067,16.0163,14.4318,11.4966,14.1848,13.1386,14.859,-
35.3396,50.5932,48.3716,53.6313,2.683,-3.7672,-1.6092,-0.5486,16.4107,20.2684,24.1652,-0.6816,-19.1797,3.5672,-62.3805,-3.5572,-23.4091,-0.2798,6.2659,-,21.0645,22.4223,22.5723,21.9482,19.8454,21.8283,22.0668,17.6092,15.4163,14.771,19.9811,15.4229,10.2283,9.6098,7.6715,9.435,11.6405,14.2407,16.3293,-
16.1842,-24.9727,8.2976,36.4201,-19.2786,-34.7336,-24.3791,-17.9813,9.315,9.4749,44.8624,-4.5414,-12.6178,5.505,-2.0821,-10.227,0.356,-4.5972,8.3244,-,7.496,8.2835,10.5937,10.44,8.0858,0.1269,6.0417,12.1406,11.2131,10.0879,3.1025,7.0183,2.6211,6.1565,5.1591,-0.4286,3.5111,6.8978,9.2889,-
103.9175,211.84,28.9805,78.1642,108.7103,14.3525,57.8019,33.2357,-4.9442,7.5948,49.8074,27.3634,36.0756,15.9842,23.3851,-2.476,-10.5627,8.2908,22.9714,-,-,21.964,11.0496,11.2615,8.0636,11.4749,10.8019,8.0754,8.4679,4.7231,5.2658,7.1086,6.0121,5.8417,3.3914,-3.3482,1.2805,3.5272,2.3914,-
57.5192,31.5716,43.3973,55.4916,17.7778,-15.1528,-0.1957,16.7761,12.5017,14.8502,22.6021,13.2237,-8.6571,10.8619,7.937,6.5782,5.5274,-3.014,4.2828,-,36.4383,35.2573,31.4877,28.9042,20.2126,27.4544,33.6317,33.9941,34.1195,29.42,28.9645,28.2979,25.0796,27.5974,24.89,27.5547,28.1152,28.1044,27.9184,-
-,0,2595.193,556.3953,31.7031,-38.3841,28.3316,90.4808,54.4856,11.6098,23.1165,25.9613,-7.1791,23.4441,8.6824,-1.8725,6.9569,-0.8996,4.9858,-,-,-,-7.4518,35.0384,23.5498,8.6589,19.302,23.7618,28.6049,20.3348,21.0022,24.5334,19.93,22.9643,18.6121,13.6253,16.9947,17.6568,22.189,-
97.3851,21.1305,23.5359,32.1222,-20.0859,-23.3024,14.6819,31.9503,17.4308,15.4298,18.6024,12.4409,-5.7156,21.3121,17.5894,8.5265,6.9448,5.245,1.0801,-,21.3631,24.3045,31.9411,31.2606,9.5256,5.7472,15.8433,20.8567,21.7042,17.9558,18.8552,18.3203,16.893,21.2787,23.2257,23.9661,24.1667,23.8584,19.6526,-
