Company_ID,COMPANY,PERIOD,flag,Industry,TotalRevenue,RevYOY,ARTurnoverDays,InventoryTurnoverDays,APTurnoverDays,CCCDays,TotalAssetTurnoverEffi,NetIncome,Cash_fromOps,EBITDA,OCF_EBITDA,OCFNetProfit,NetProfitR,GrossMarginR,OperatingProfitR,ROE,ROA,TotalAssets,TL_TA,DebtEquityR,FixAssetR,Cost_GoodsSold,Cash_Acquisitions,Cash_Acq_Total_Rev,CashBurnRatio1,CashSales1,CashTotalAsset1,NetCashBurnRatio1,NetCashSales1,NetCash1,CashBalance1
IQ24686,Amdocs Limited,1999,3,Software and Services,626.855,55.2516,72.57113,0,58.36423,14.2069,1.87127,98.543,152.303,177.599,85.75667656,154.5548644,15.7202,42.0401,28.3317,193.5099,27.4259,430.011,71.2246,20.4069,19.5337,363.324,0,0,2.075575303,13.58751226,19.80740028,1.460242549,9.559307974,59.923,85.174
IQ24686,Amdocs Limited,2000,3,Software and Services,1118.32,78.4017,69.12276,0,55.80292,13.31984,0.94569,5.978,287.588,305.1,94.26024254,4810.772834,0.5345,42.2773,27.2819,0.7691,7.9141,1935.085,26.0615,3.6434,6.6189,645.524,-67.791,-6.061860648,5.511210558,35.97360326,20.78978443,4.797068359,31.31214679,350.17,402.3
IQ24686,Amdocs Limited,2001,3,Software and Services,1533.91,37.1619,77.09092,0,63.04937,14.04155,0.67284,66.386,337.987,441.906,76.48391287,509.1239117,4.3278,44.3747,28.8091,4.5116,4.3667,2624.436,42.3841,35.3933,6.6184,853.242,0,0,11.25167688,72.36845708,42.29735456,5.827084328,37.47860044,574.888,1110.067
IQ24686,Amdocs Limited,2002,2,Software and Services,1613.565,5.1929,78.89913,0,41.30304,37.59609,0.62486,-5.061,412.276,410.612,100.4052488,-8146.137127,-0.3136,42.1568,25.4475,-0.3456,2.4395,2540.094,44.2432,33.2237,6.3345,933.337,213.18,13.21173922,9.967244147,64.93813388,41.25118992,5.491302125,35.77668083,577.28,1047.819
IQ24686,Amdocs Limited,2003,2,Software and Services,1483.327,-8.0715,62.87089,0,29.13649,33.7344,0.54759,168.883,391.831,321.959,121.7021422,232.0132873,11.3854,38.4249,21.7051,11.2293,5.18,2877.517,44.6884,28.4994,7.0709,913.359,30.98,2.088548243,12.65809975,87.02679854,44.8613162,8.210253821,56.44702753,837.294,1290.892
IQ24686,Amdocs Limited,2004,3,Software and Services,1773.732,19.5779,46.74223,0,33.58087,13.16136,0.61787,234.86,344.404,399.862,86.1307151,146.642255,13.241,36.8536,22.5435,15.4727,6.5094,2863.884,49.5723,32.9384,6.3243,1120.047,10.651,0.600485304,10.00574783,67.12958891,41.57636971,6.008369642,40.31076848,715.005,1190.699
IQ24686,Amdocs Limited,2005,3,Software and Services,2038.621,14.9339,50.04369,0,30.81987,19.22382,0.67211,288.636,381.751,444.915,85.80313094,132.2603556,14.1583,36.4445,21.8243,18.6178,7.2343,3202.468,48.2757,27.6948,5.6772,1295.655,262.253,12.86423519,8.255913229,56.19303441,35.77125517,4.949751363,33.68997965,686.811,1145.563
IQ24686,Amdocs Limited,2006,3,Software and Services,2480.05,21.6533,53.72143,0,30.2804,23.44103,0.69224,318.636,429.22,475.757,90.21832574,134.7054319,12.8479,36.1373,19.1833,16.7235,6.2428,3962.828,45.6407,20.9808,5.5589,1583.826,624.801,25.19308078,5.636698145,39.49037318,24.714194,3.035484722,21.26642608,527.418,979.381
IQ24686,Amdocs Limited,2007,3,Software and Services,2836.173,14.3595,57.8901,0,34.62208,23.26802,0.68274,364.937,423.894,529.188,80.10272342,116.1553912,12.8672,36.6617,18.6585,15.3515,5.4794,4345.35,40.1603,17.3851,6.532,1796.382,90.724,3.198817562,5.721394463,41.57997414,27.1388956,3.528204573,25.64106632,727.225,1179.28
IQ24686,Amdocs Limited,2008,3,Software and Services,3162.096,11.4916,60.62827,0,31.5869,29.04137,0.70864,378.906,483.013,612.429,78.8684076,127.47568,11.9827,35.9193,19.3678,14.0194,5.8756,4579.063,38.7387,16.0543,6.9246,2026.291,58.772,1.858640598,5.565953926,39.35294817,27.17538501,3.551565415,25.11062283,794.022,1244.378
